De Selma y Salaverde,132
Podgaits,132
Styne,132
Monk,132
Tyner,130
Chaminade,129
Davis,128
Nishimura,128
Jaufré Rudel,128
Bennett,128
Bréville,128
Ackerman,128
Philippe,128
Guillois,128
Ockeghem,128
Colomer,127
Malone,126
Ponchielli,126
M,126
Hayne van Ghizeghem,126
L,126
L'Estocart,126
Markeas,126
Martínez,126
Andrea Antico da Montona,126
Boïeldieu,126
Guridi Bidaola,126
Stockem,125
Bernard,125
MacHugh,125
D,125
Guilmant,124
Malipiero,124
Cochereau,124
Tedesco,122
Lutosławski,122
Damase,121
Obdam,120
Peter of Blois,120
Thuma,120
André Gide,120
Beach,120
Arne,120
Schein,120
Eyck,120
Hotel,120
Wely,120
Schöllhorn,120
Bertrand,120
Rimbaud,120
Ripa,120
Nodaira,120
Bax,118
Gace Brulé,118
Böhm,117
Gade,117
Tosti,117
Guarnieri,116
Ganne,116
Bencini,116
Zavaro,116
Couperin,116
Finzi,116
Knussen,114
Gilles Binchois,114
Fokine,114
Revueltas,114
Romitelli,114
Paladin,114
Dubugnon,114
Hubay,114
Lourié,112
Cassadó,112
Meyner,112
Keiser,112
Berger,112
Bartolino da Padova,112
Jaubert,112
Binet,112
Petzold,112
Campion,112
Brant,112
Neuwirth,112
Karetnikov,110
Guerrero,110
M,110
Chesnier,110
Séverac,110
Hölderlin,110
Danzi,108
Bouilly,108
Cowell,108
Ballocchi,108
Nebra,108
Pierre d'Amiens,108
Essyad,108
Śrīnivāsanāyaka,108
Eisenstein,108
Salaberría,108
Dillon,108
Mařatka,108
Marini,108
Tüür,108
Fumet,108
Ffrie,108
Pachelbel,107
Corbin,106
Tournemire,106
I. A. D. B,105
Morales,105
Rodrigo,105
Eulibio Brentiatico,105
Michna de Otradovice,105
M,104
Cazzati,104
Francoeur,104
Garcia,104
Pizzetti,104
Pedro de Cristo,104
Forqueray,104
Pearson,102
Bedrossian,102
Cilea,102
Veress,102
Sanz,102
Lang,102
Encinar Martínez,102
Caldara,102
Rabinovitch,100
Guillaume d'Amiens,100
Echpaï,100
Babadjanian,100
McEwen,100
Hesketh,100
Giaii,100
Darbellay,100
Battistelli,100
François d'Assise,100
Feiler,100
Jiménez,100
Grainger,100
Van den Hove,99
Luther,99
Rilke,99
Sousa,99
Grappelli,99
Violone,99
Corigliano,99
Lobo,99
M,98
Le Tasse,98
Holborne,98
Froberger,97
Salas,97
Graun,97
Wacław Szamotulski,96
Kañ,96
Ghinzer,96
Quantz,96
Reed,96
Stič,96
Exaudet,96
Vives,96
Silva,96
Dentici,96
K.,96
Dearing,96
Mariezcurrena,96
Blacher,96
Bosc,96
Maresz,96
Herrera,96
Burty,96
Higelin,96
Mc Leod,96
Gaveaux,96
Jean Bodel,96
Meyer,96
Haym,95
Herrmann,94
Doppler,93
David,93
Dalayrac,93
Auvray,93
Proust,92
Lauba,92
